image,split,cr,actual_cr,sigma,seed,method,psnr,ssim,seconds,relative_residual
camera,test,0.01,0.01031494140625,0.0,2026,adjoint,20.745649510540005,0.3771584924472794,1.1665993952192366e-05,0.0038529771845787764
camera,test,0.01,0.01031494140625,0.0,2026,fista_dct,21.32250281524339,0.4922823652886577,0.16727012499177363,0.002701785520648157
camera,test,0.01,0.01031494140625,0.0,2026,hqs,23.71970297191313,0.6898069433445868,2.180789083999116,0.003210097085684538
camera,test,0.01,0.01031494140625,0.0,2026,admm,23.571399126440873,0.6881184069491875,2.182975375006208,0.004718201234936714
camera,test,0.04,0.041259765625,0.0,2026,adjoint,22.75721772811236,0.4455639822583821,1.4334000297822058e-05,0.004096365999430418
camera,test,0.04,0.041259765625,0.0,2026,fista_dct,23.438554892072947,0.511868393037637,0.1798772500042105,0.0030642092969721617
camera,test,0.04,0.041259765625,0.0,2026,hqs,28.548991902715656,0.8127598050408885,2.314513666991843,0.002387531567364931
camera,test,0.04,0.041259765625,0.0,2026,admm,28.624267588214604,0.8109754846283793,2.3122500000026776,0.0035323305055499077
camera,test,0.1,0.1001129150390625,0.0,2026,adjoint,24.49504946783437,0.519300092101892,2.1666986867785454e-05,0.004333802964538336
camera,test,0.1,0.1001129150390625,0.0,2026,fista_dct,25.060797224688073,0.5607414622972962,0.1793707920005545,0.0033446224324505274
camera,test,0.1,0.1001129150390625,0.0,2026,hqs,31.753028215346255,0.882429309518814,2.1437987919925945,0.0019157767528668046
camera,test,0.1,0.1001129150390625,0.0,2026,admm,31.738763457320335,0.8805678516902924,2.158428249997087,0.002543512498959899
camera,test,0.25,0.25,0.0,2026,adjoint,27.29289114920779,0.6469676325506568,2.64590053120628e-05,0.004517110995948315
camera,test,0.25,0.25,0.0,2026,fista_dct,28.498447444490694,0.7089174500311614,0.18665625000721775,0.002452014562439302
camera,test,0.25,0.25,0.0,2026,hqs,35.618786880677206,0.9433383044624328,2.1772692920058034,0.0015114550478756428
camera,test,0.25,0.25,0.0,2026,admm,35.60514814017062,0.9425661455259323,2.1462713749933755,0.0018437374383211136
camera,test,0.5,0.4998931884765625,0.0,2026,adjoint,30.66193100189649,0.7738979846279621,4.1457999031990767e-05,0.005054263398051262
camera,test,0.5,0.4998931884765625,0.0,2026,fista_dct,32.39885311071169,0.8454297008442879,0.19874708300631028,0.002041960456777511
camera,test,0.5,0.4998931884765625,0.0,2026,hqs,41.38489409626941,0.9833569431171417,2.1670309999899473,0.001202124753035605
camera,test,0.5,0.4998931884765625,0.0,2026,admm,41.22682584769145,0.9825846431035995,2.14425054199819,0.0013987275306135416
camera,test,0.1,0.1001129150390625,0.01,2026,adjoint,24.454699950331282,0.5147820029890724,2.0374995074234903e-05,0.004407011438161135
camera,test,0.1,0.1001129150390625,0.01,2026,fista_dct,24.99253219604715,0.5536293441715859,0.18295954100904055,0.003581454488699507
camera,test,0.1,0.1001129150390625,0.01,2026,hqs,31.21598099607416,0.8649235015159845,2.1424867500027176,0.0016791261732578278
camera,test,0.1,0.1001129150390625,0.01,2026,admm,31.27246885314179,0.8677373597579002,2.160065834003035,0.002780001610517502
camera,test,0.1,0.1001129150390625,0.01,2027,adjoint,24.456870513202627,0.5148348684722126,2.1042011212557554e-05,0.00441736401990056
camera,test,0.1,0.1001129150390625,0.01,2027,fista_dct,24.98368612694452,0.5550427450140324,0.1820656249910826,0.003450513518741578
camera,test,0.1,0.1001129150390625,0.01,2027,hqs,31.163073547250914,0.86480699308604,2.1431631249870406,0.0015947659267112613
camera,test,0.1,0.1001129150390625,0.01,2027,admm,31.212328036075547,0.8676495031260252,2.180911167000886,0.0027111717499792576
camera,test,0.1,0.1001129150390625,0.01,2028,adjoint,24.454079670665617,0.5144333949865206,1.8750011804513633e-05,0.004345352295786142
camera,test,0.1,0.1001129150390625,0.01,2028,fista_dct,24.952933046294344,0.5489137716203853,0.21817579100024886,0.0032880173482276918
camera,test,0.1,0.1001129150390625,0.01,2028,hqs,31.16392057730925,0.863819338947393,2.1694203749939334,0.0016748977359384298
camera,test,0.1,0.1001129150390625,0.01,2028,admm,31.236224972444248,0.8668498621343076,2.1569876670109807,0.0027288098353892565
camera,test,0.1,0.1001129150390625,0.05,2026,adjoint,23.593187136312302,0.43697391966585813,1.812499249354005e-05,0.006211159750819206
camera,test,0.1,0.1001129150390625,0.05,2026,fista_dct,23.584782989269453,0.4330452412239337,0.1824836250016233,0.007149652737507962
camera,test,0.1,0.1001129150390625,0.05,2026,hqs,26.98598901718878,0.6295769639926814,2.150960707993363,0.0020135606173425913
camera,test,0.1,0.1001129150390625,0.05,2026,admm,27.137120617257523,0.6416754485214278,2.1673831660009455,0.003758603474125266
camera,test,0.1,0.1001129150390625,0.05,2027,adjoint,23.621863514059676,0.43770158989765773,2.0042003598064184e-05,0.0061571612022817135
camera,test,0.1,0.1001129150390625,0.05,2027,fista_dct,23.543274543043204,0.43192182116150485,0.18547791699529625,0.006820520675814849
camera,test,0.1,0.1001129150390625,0.05,2027,hqs,27.031391334878453,0.6291234796532914,2.144285292000859,0.0017174066742882133
camera,test,0.1,0.1001129150390625,0.05,2027,admm,27.160815640713643,0.6380528756201417,2.1630713750055293,0.003197370795533061
camera,test,0.1,0.1001129150390625,0.05,2028,adjoint,23.61026093005902,0.4357120536548116,1.8584003555588424e-05,0.005646710284054279
camera,test,0.1,0.1001129150390625,0.05,2028,fista_dct,23.530604557819075,0.42735577350488685,0.18658004100143444,0.0061324527754933545
camera,test,0.1,0.1001129150390625,0.05,2028,hqs,26.87406577580959,0.6294318217695225,2.1644379159988603,0.0017824620008468628
camera,test,0.1,0.1001129150390625,0.05,2028,admm,27.109479714381383,0.6415629679114986,2.1440525419893675,0.003465859917923808
astronaut,test,0.01,0.01031494140625,0.0,2026,adjoint,17.503231091047983,0.27795637042553234,9.83300560619682e-06,0.017804546281695366
astronaut,test,0.01,0.01031494140625,0.0,2026,fista_dct,18.43148487949955,0.40075020158896113,0.19187208400398958,0.02392397313245067
astronaut,test,0.01,0.01031494140625,0.0,2026,hqs,20.06174314288273,0.5606439464713416,2.1584298750094604,0.006350947078317404
astronaut,test,0.01,0.01031494140625,0.0,2026,admm,20.07042134249041,0.5739310096070319,2.1624668750009732,0.006558263674378395
astronaut,test,0.04,0.041259765625,0.0,2026,adjoint,19.984710448891715,0.41385594054175306,1.3874989235773683e-05,0.01719418726861477
astronaut,test,0.04,0.041259765625,0.0,2026,fista_dct,21.083803551869877,0.4996241712292144,0.18449445799342357,0.02028043957453902
astronaut,test,0.04,0.041259765625,0.0,2026,hqs,25.386557837438573,0.8403274320849785,2.1880181660089875,0.005274421069771051
astronaut,test,0.04,0.041259765625,0.0,2026,admm,25.3651529604447,0.8388312026698646,2.213925375006511,0.006271293852478266
astronaut,test,0.1,0.1001129150390625,0.0,2026,adjoint,22.120526665574424,0.5298460184771913,1.8165999790653586e-05,0.016526710242033005
astronaut,test,0.1,0.1001129150390625,0.0,2026,fista_dct,23.858891076248696,0.637458199214343,0.19471237499965355,0.017430443110082624
astronaut,test,0.1,0.1001129150390625,0.0,2026,hqs,29.85875459112193,0.940031016061306,2.1807007919996977,0.00385264097712934
astronaut,test,0.1,0.1001129150390625,0.0,2026,admm,29.92464038120361,0.9400945543122291,2.168066790996818,0.004554647020995617
astronaut,test,0.25,0.25,0.0,2026,adjoint,25.024945325980568,0.6573825229296685,2.445800055284053e-05,0.014331054873764515
astronaut,test,0.25,0.25,0.0,2026,fista_dct,27.45347554617083,0.7787386445953846,0.19606333400588483,0.012237763759112815
astronaut,test,0.25,0.25,0.0,2026,hqs,36.650027649711106,0.9849839056930542,2.189845957997022,0.0025020278990268707
astronaut,test,0.25,0.25,0.0,2026,admm,36.6296191037259,0.9847228881149293,2.2210632499918574,0.002682262798771262
astronaut,test,0.5,0.4998931884765625,0.0,2026,adjoint,28.361878136909766,0.7635594666612149,4.1207997128367424e-05,0.012638592161238194
astronaut,test,0.5,0.4998931884765625,0.0,2026,fista_dct,31.143775566215307,0.8676046187660694,0.2173741250007879,0.009279892106325923
astronaut,test,0.5,0.4998931884765625,0.0,2026,hqs,43.37065921052976,0.9953512039041519,2.1734499590093037,0.0014617873821407557
astronaut,test,0.5,0.4998931884765625,0.0,2026,admm,43.36005749374169,0.9952193306016922,2.22913329199946,0.001784658059477806
astronaut,test,0.1,0.1001129150390625,0.01,2026,adjoint,22.102037999734424,0.5287648084553711,2.5500004994682968e-05,0.01669725961983204
astronaut,test,0.1,0.1001129150390625,0.01,2026,fista_dct,23.74521421020049,0.6287540177873296,0.20995416700316127,0.018029567484536463
astronaut,test,0.1,0.1001129150390625,0.01,2026,hqs,29.371199620589717,0.9306598880751134,2.2158075829938753,0.003693230915814638
astronaut,test,0.1,0.1001129150390625,0.01,2026,admm,29.47288362837393,0.9331920383245945,2.249361416994361,0.0045509180054068565
astronaut,test,0.1,0.1001129150390625,0.01,2027,adjoint,22.102565416298738,0.5285534833045089,2.112500078510493e-05,0.016636159271001816
astronaut,test,0.1,0.1001129150390625,0.01,2027,fista_dct,23.803905341209706,0.6343977101414613,0.20265216600091662,0.01757793713263292
astronaut,test,0.1,0.1001129150390625,0.01,2027,hqs,29.394905322579543,0.9304788159244061,2.232249458989827,0.003651744220405817
astronaut,test,0.1,0.1001129150390625,0.01,2027,admm,29.48673656675304,0.933039693731308,2.3091844169975957,0.004597365390509367
astronaut,test,0.1,0.1001129150390625,0.01,2028,adjoint,22.101438656649947,0.5285961827136014,2.029100141953677e-05,0.01659683883190155
astronaut,test,0.1,0.1001129150390625,0.01,2028,fista_dct,23.792715218152928,0.6328221543741273,0.20038104100967757,0.017781253153694027
astronaut,test,0.1,0.1001129150390625,0.01,2028,hqs,29.42979774575994,0.9320337759017945,2.1945953749964247,0.003760863794013858
astronaut,test,0.1,0.1001129150390625,0.01,2028,admm,29.522986889758023,0.9340852654151917,2.3150850829988485,0.004622596316039562
astronaut,test,0.1,0.1001129150390625,0.05,2026,adjoint,21.676645693937555,0.5045938987852153,2.1083003957755864e-05,0.01950341835618019
astronaut,test,0.1,0.1001129150390625,0.05,2026,fista_dct,22.860746869229477,0.5771717907304564,0.19683425000403076,0.022548835306914376
astronaut,test,0.1,0.1001129150390625,0.05,2026,hqs,25.425760475211703,0.7771329454703331,2.2417942920001224,0.004194282460957766
astronaut,test,0.1,0.1001129150390625,0.05,2026,admm,25.715001295448687,0.7921787079920098,2.2760048339987407,0.005594807211309671
astronaut,test,0.1,0.1001129150390625,0.05,2027,adjoint,21.689223305177364,0.5034485144965397,2.041600237134844e-05,0.01912621222436428
