image,split,operator,method,psnr,ssim
camera,test,hqs,hqs,31.898444049858345,0.8822035269174576
camera,test,hqs,fista_dct,25.098254804071473,0.5576383693175937
camera,test,admm,admm,31.862746433662565,0.8813156401364803
camera,test,admm,fista_dct,25.12305646621245,0.5624542560609148
astronaut,test,hqs,hqs,30.091070925177693,0.9407048287014961
astronaut,test,hqs,fista_dct,23.677744605193087,0.6275113942679456
astronaut,test,admm,admm,30.15395961736305,0.941528895077467
astronaut,test,admm,fista_dct,23.599250637364555,0.6211254922500034
coins,test,hqs,hqs,30.4511681794759,0.889353970082283
coins,test,hqs,fista_dct,25.080791804008584,0.6241482958082094
coins,test,admm,admm,30.488187960227734,0.8899016338102818
coins,test,admm,fista_dct,25.06710195494888,0.6231073554408317
moon,test,hqs,hqs,39.496474187469424,0.9359654688148499
moon,test,hqs,fista_dct,35.59363871534823,0.8584031190981865
moon,test,admm,admm,39.49880830430323,0.9360522084636689
moon,test,admm,fista_dct,35.618971780313316,0.8588412096133232
page,test,hqs,hqs,24.098926413632384,0.8555182637647427
page,test,hqs,fista_dct,20.86348984464786,0.4631260347352545
page,test,admm,admm,24.024472039126632,0.8534034156176821
page,test,admm,fista_dct,20.873156888490115,0.46320887155441615
clock,test,hqs,hqs,50.68930841944936,0.9941333711385727
clock,test,hqs,fista_dct,43.915397251092045,0.978827864818573
clock,test,admm,admm,50.85125022366492,0.9944482306470871
clock,test,admm,fista_dct,44.279041581495484,0.9808255179667473
checkerboard,stress,hqs,hqs,6.604346058331987,0.2042699518264422
checkerboard,stress,hqs,fista_dct,8.126155808918764,0.46941535085626607
checkerboard,stress,admm,admm,6.568562790927945,0.20416386418967974
checkerboard,stress,admm,fista_dct,8.181423773512188,0.48233354794500116
small_text,stress,hqs,hqs,31.598886419059152,0.9881359138822555
small_text,stress,hqs,fista_dct,20.190969461581375,0.4331641836781588
small_text,stress,admm,admm,30.76714265102799,0.9830823987617493
small_text,stress,admm,fista_dct,20.216776320081962,0.4320177231295705
