image,split,cr,actual_cr,sigma,seed,method,stage,psnr,ssim
camera,test,0.01,0.01031494140625,0.0,2026,hqs,1,21.913342692707655,0.5282680802458871
camera,test,0.01,0.01031494140625,0.0,2026,hqs,2,22.82190684021912,0.6278889367703087
camera,test,0.01,0.01031494140625,0.0,2026,hqs,3,23.296419773722587,0.6651605422024089
camera,test,0.01,0.01031494140625,0.0,2026,hqs,4,23.50187212858642,0.6760830360817798
camera,test,0.01,0.01031494140625,0.0,2026,hqs,5,23.633707494048302,0.6826270426818959
camera,test,0.01,0.01031494140625,0.0,2026,hqs,6,23.71970297191313,0.6898069433445868
camera,test,0.01,0.01031494140625,0.0,2026,admm,1,21.856668085234432,0.5168176828860395
camera,test,0.01,0.01031494140625,0.0,2026,admm,2,22.97880353755761,0.6400899545978525
camera,test,0.01,0.01031494140625,0.0,2026,admm,3,23.416928824612086,0.6716486459401407
camera,test,0.01,0.01031494140625,0.0,2026,admm,4,23.53824173943646,0.6777005190317098
camera,test,0.01,0.01031494140625,0.0,2026,admm,5,23.567882629949352,0.6815147365501745
camera,test,0.01,0.01031494140625,0.0,2026,admm,6,23.571399126440873,0.6881184069491875
camera,test,0.04,0.041259765625,0.0,2026,hqs,1,24.37674266907061,0.6142735253449835
camera,test,0.04,0.041259765625,0.0,2026,hqs,2,26.045033019495328,0.7281886370682903
camera,test,0.04,0.041259765625,0.0,2026,hqs,3,27.06597050765162,0.7768600365734697
camera,test,0.04,0.041259765625,0.0,2026,hqs,4,27.739593407492297,0.7922239593100678
camera,test,0.04,0.041259765625,0.0,2026,hqs,5,28.17477937796779,0.8015068308333456
camera,test,0.04,0.041259765625,0.0,2026,hqs,6,28.548991902715656,0.8127598050408885
camera,test,0.04,0.041259765625,0.0,2026,admm,1,24.25466044098386,0.599823634560511
camera,test,0.04,0.041259765625,0.0,2026,admm,2,26.308232239211353,0.7429894291106183
camera,test,0.04,0.041259765625,0.0,2026,admm,3,27.365899750881194,0.7835601591956988
camera,test,0.04,0.041259765625,0.0,2026,admm,4,27.968128498185795,0.7947276926093102
camera,test,0.04,0.041259765625,0.0,2026,admm,5,28.375738649283054,0.8056070801024436
camera,test,0.04,0.041259765625,0.0,2026,admm,6,28.624267588214604,0.8109754846283793
camera,test,0.1,0.1001129150390625,0.0,2026,hqs,1,26.6851912702775,0.6840759660287108
camera,test,0.1,0.1001129150390625,0.0,2026,hqs,2,28.976845184463258,0.7997978415665626
camera,test,0.1,0.1001129150390625,0.0,2026,hqs,3,30.410925022575455,0.8514590690048933
camera,test,0.1,0.1001129150390625,0.0,2026,hqs,4,31.143919525431443,0.8657158336452245
camera,test,0.1,0.1001129150390625,0.0,2026,hqs,5,31.532888715187507,0.8735031962434053
camera,test,0.1,0.1001129150390625,0.0,2026,hqs,6,31.753028215346255,0.882429309518814
camera,test,0.1,0.1001129150390625,0.0,2026,admm,1,26.49150971926513,0.6714995617132671
camera,test,0.1,0.1001129150390625,0.0,2026,admm,2,29.395356598531382,0.8186961991831064
camera,test,0.1,0.1001129150390625,0.0,2026,admm,3,30.736639589728178,0.8566313109151125
camera,test,0.1,0.1001129150390625,0.0,2026,admm,4,31.14533698915096,0.8654623171373605
camera,test,0.1,0.1001129150390625,0.0,2026,admm,5,31.518181034399614,0.8756362361762524
camera,test,0.1,0.1001129150390625,0.0,2026,admm,6,31.738763457320335,0.8805678516902924
camera,test,0.25,0.25,0.0,2026,hqs,1,30.0297565892045,0.7948133715628386
camera,test,0.25,0.25,0.0,2026,hqs,2,32.62140697479697,0.8879235895256996
camera,test,0.25,0.25,0.0,2026,hqs,3,34.07080447444574,0.9217325926423073
camera,test,0.25,0.25,0.0,2026,hqs,4,34.85328888696312,0.9317939533901215
camera,test,0.25,0.25,0.0,2026,hqs,5,35.29014510656592,0.9373192001190186
camera,test,0.25,0.25,0.0,2026,hqs,6,35.618786880677206,0.9433383044624328
camera,test,0.25,0.25,0.0,2026,admm,1,29.8371688874524,0.7852983063666821
camera,test,0.25,0.25,0.0,2026,admm,2,33.21692531460711,0.9041669977903366
camera,test,0.25,0.25,0.0,2026,admm,3,34.260581843395684,0.9224695959806443
camera,test,0.25,0.25,0.0,2026,admm,4,34.67252224827436,0.9275297200307846
camera,test,0.25,0.25,0.0,2026,admm,5,35.24336701916701,0.9369861017484665
camera,test,0.25,0.25,0.0,2026,admm,6,35.60514814017062,0.9425661455259323
camera,test,0.5,0.4998931884765625,0.0,2026,hqs,1,33.42854736317136,0.8868459524769783
camera,test,0.5,0.4998931884765625,0.0,2026,hqs,2,36.32784706024202,0.9454167772665024
camera,test,0.5,0.4998931884765625,0.0,2026,hqs,3,38.29124282976774,0.9665547822294235
camera,test,0.5,0.4998931884765625,0.0,2026,hqs,4,39.63644663357863,0.9745378773727417
camera,test,0.5,0.4998931884765625,0.0,2026,hqs,5,40.589754808817816,0.9792551261491775
camera,test,0.5,0.4998931884765625,0.0,2026,hqs,6,41.38489409626941,0.9833569431171417
camera,test,0.5,0.4998931884765625,0.0,2026,admm,1,33.27850520457521,0.879443123413086
camera,test,0.5,0.4998931884765625,0.0,2026,admm,2,37.036503246479235,0.9548550891885758
camera,test,0.5,0.4998931884765625,0.0,2026,admm,3,38.61951543613324,0.9665785076284409
camera,test,0.5,0.4998931884765625,0.0,2026,admm,4,39.408266029266436,0.9709025634851456
camera,test,0.5,0.4998931884765625,0.0,2026,admm,5,40.44278213793284,0.9777840924272537
camera,test,0.5,0.4998931884765625,0.0,2026,admm,6,41.22682584769145,0.9825846431035995
camera,test,0.1,0.1001129150390625,0.01,2026,hqs,1,26.654590272962334,0.68089410827062
camera,test,0.1,0.1001129150390625,0.01,2026,hqs,2,28.905760471567703,0.7956429645687342
camera,test,0.1,0.1001129150390625,0.01,2026,hqs,3,30.271813623344293,0.8460026334997416
camera,test,0.1,0.1001129150390625,0.01,2026,hqs,4,30.895500335176358,0.8593305799191594
camera,test,0.1,0.1001129150390625,0.01,2026,hqs,5,31.176419144321436,0.8649040334248542
camera,test,0.1,0.1001129150390625,0.01,2026,hqs,6,31.21598099607416,0.8649235015159845
camera,test,0.1,0.1001129150390625,0.01,2026,admm,1,26.463795610479007,0.6685563652248108
camera,test,0.1,0.1001129150390625,0.01,2026,admm,2,29.299078094995835,0.8118689385861159
camera,test,0.1,0.1001129150390625,0.01,2026,admm,3,30.488767982980573,0.8462215769876241
camera,test,0.1,0.1001129150390625,0.01,2026,admm,4,30.7761712867459,0.8519921791634559
camera,test,0.1,0.1001129150390625,0.01,2026,admm,5,31.02201240345829,0.8572444988454581
camera,test,0.1,0.1001129150390625,0.01,2026,admm,6,31.27246885314179,0.8677373597579002
